frame_no,time
2,1681922441.341093000
3,1681922441.358609000
9,1681922441.439148000
10,1681922441.440358000
20,1681922441.503659000
26,1681922441.538120000
31,1681922441.541418000
32,1681922441.542524000
33,1681922441.543287000
34,1681922441.544119000
52,1681922441.593719000
63,1681922441.631583000
73,1681922441.644904000
80,1681922441.669132000
90,1681922441.684890000
99,1681922441.688640000
254,1681922442.099474000
255,1681922442.101980000
256,1681922442.105937000
257,1681922442.108733000
258,1681922442.114041000
259,1681922442.116444000
260,1681922442.118800000
262,1681922442.120903000
263,1681922442.121944000
264,1681922442.122693000
265,1681922442.125326000
266,1681922442.126295000
267,1681922442.127302000
279,1681922442.144187000
364,1681922442.193245000
368,1681922442.195894000
