frame_no,time
1,1681926960.758031000
2,1681926960.760434000
4,1681926960.771057000
5,1681926960.773019000
7,1681926960.787495000
8,1681926960.790410000
22,1681926960.844284000
28,1681926960.850855000
31,1681926960.857409000
36,1681926960.864486000
55,1681926960.888139000
72,1681926960.897564000
311,1681926961.147935000
314,1681926961.149542000
338,1681926961.280172000
339,1681926961.282420000
406,1681926962.438173000
407,1681926962.450409000
409,1681926962.483593000
410,1681926962.485508000
