frame_no,time
2,1681922541.881058000
3,1681922541.886549000
4,1681922541.898571000
5,1681922541.901613000
7,1681922541.910204000
13,1681922541.948996000
21,1681922541.958529000
22,1681922541.960390000
34,1681922541.987937000
40,1681922541.989737000
188,1681922542.224384000
194,1681922542.227055000
214,1681922542.359136000
218,1681922542.404036000
263,1681922542.926146000
265,1681922542.929206000
309,1681922543.873706000
310,1681922543.926683000
328,1681922544.005961000
331,1681922544.009084000
333,1681922544.010751000
335,1681922544.016049000
419,1681922544.123651000
420,1681922544.127679000
448,1681922544.175517000
482,1681922544.188648000
722,1681922544.395978000
723,1681922544.400723000
765,1681922544.562083000
768,1681922544.566490000
774,1681922544.581355000
775,1681922544.585119000
801,1681922544.625572000
802,1681922544.627873000
822,1681922544.679372000
823,1681922544.683900000
878,1681922546.012706000
880,1681922546.060773000
958,1681922546.308822000
962,1681922546.318741000
965,1681922546.323365000
987,1681922546.353886000
1201,1681922546.549323000
1229,1681922546.649804000
1699,1681922547.122339000
1700,1681922547.127324000
1812,1681922551.949873000
1815,1681922551.961786000
2538,1681922553.467819000
2687,1681922553.511158000
