frame_no,time
2,1681922587.795400000
3,1681922587.804679000
4,1681922587.807247000
5,1681922587.811664000
6,1681922587.812336000
7,1681922587.812783000
24,1681922587.872686000
30,1681922587.887127000
33,1681922587.898963000
42,1681922587.904306000
67,1681922587.968288000
94,1681922587.980615000
365,1681922588.183524000
369,1681922588.187257000
439,1681922588.317279000
441,1681922588.319380000
636,1681922592.564364000
637,1681922592.582413000
664,1681922593.952695000
665,1681922593.955092000
