frame_no,time
2,1681922435.860442000
3,1681922435.861506000
4,1681922435.881011000
5,1681922435.881198000
9,1681922435.891668000
10,1681922435.895491000
33,1681922435.930025000
37,1681922435.933666000
59,1681922435.980884000
60,1681922435.985087000
61,1681922435.988995000
63,1681922435.991653000
71,1681922435.993856000
72,1681922435.994288000
73,1681922435.996386000
74,1681922435.997183000
92,1681922436.016535000
93,1681922436.019310000
94,1681922436.023954000
95,1681922436.026303000
102,1681922436.029339000
103,1681922436.030649000
104,1681922436.031615000
128,1681922436.060260000
495,1681922436.338696000
500,1681922436.340190000
