frame_no,time
2,1681922470.019310000
3,1681922470.021627000
11,1681922470.112386000
12,1681922470.125051000
23,1681922470.196255000
24,1681922470.198802000
49,1681922470.279494000
50,1681922470.280794000
51,1681922470.281426000
52,1681922470.283062000
53,1681922470.289212000
59,1681922470.303406000
102,1681922470.396585000
111,1681922470.401107000
134,1681922470.440077000
140,1681922470.446151000
232,1681922470.887277000
237,1681922470.893168000
239,1681922470.895381000
240,1681922470.897840000
241,1681922470.899951000
246,1681922470.903073000
247,1681922470.904069000
248,1681922470.904965000
249,1681922470.905758000
250,1681922470.908320000
256,1681922470.927215000
260,1681922470.936324000
261,1681922470.937542000
262,1681922470.938266000
337,1681922470.987041000
347,1681922470.990521000
