frame_no,time
1,1681924280.579589000
3,1681924280.597436000
5,1681924280.645219000
6,1681924280.646512000
8,1681924280.661521000
9,1681924280.663935000
11,1681924280.665305000
13,1681924280.666558000
23,1681924280.727951000
28,1681924280.738466000
33,1681924280.747549000
47,1681924280.755087000
60,1681924280.769775000
68,1681924280.773938000
306,1681924281.026626000
307,1681924281.028959000
342,1681924281.182054000
343,1681924281.183799000
415,1681924282.158965000
416,1681924282.161373000
