frame_no,time
1,1681922719.975057000
2,1681922719.992573000
3,1681922719.996324000
4,1681922719.998191000
5,1681922719.999448000
8,1681922720.010711000
41,1681922720.105719000
44,1681922720.111918000
73,1681922720.155485000
82,1681922720.158387000
198,1681922720.418122000
203,1681922720.421899000
225,1681922720.553161000
229,1681922720.556927000
272,1681922720.858109000
273,1681922720.875828000
281,1681922720.982128000
282,1681922720.983537000
403,1681922721.239398000
404,1681922721.241915000
