frame_no,time
1,1681925909.666468000
2,1681925909.682850000
8,1681925909.890399000
9,1681925909.893247000
13,1681925909.906035000
14,1681925909.906438000
19,1681925909.916333000
21,1681925909.918555000
25,1681925909.955882000
29,1681925909.966936000
33,1681925909.973688000
43,1681925909.976093000
60,1681925909.998266000
170,1681925910.066355000
346,1681925910.263557000
347,1681925910.265337000
372,1681925910.439892000
375,1681925910.443556000
447,1681925911.970394000
452,1681925911.988396000
