frame_no,time
1,1681925930.354996000
2,1681925930.357325000
18,1681925930.878458000
19,1681925930.880019000
21,1681925930.896326000
22,1681925930.899709000
23,1681925930.900814000
24,1681925930.901492000
36,1681925930.957222000
41,1681925930.970501000
45,1681925930.972832000
50,1681925930.974727000
70,1681925931.009911000
75,1681925931.011735000
306,1681925931.265217000
307,1681925931.266719000
330,1681925931.382762000
332,1681925931.384878000
404,1681925933.520843000
405,1681925933.537951000
